Player,Tm,Pos,Type,Class,Details
Jeff Badet,ATL,WR,Leg,questionable,"Badet is nursing a lower-leg injury, and it has yet to be established if he will dress against the Eagles in Week 1."
Deadrin Senat,ATL,DT,Upper Body,I-R,"Senat as been added to the active PUP list with an upper-body injury, and it remains to be seen if he will be available for Week 1 versus the Eagles."
Matt Gono,ATL,T,Neck,I-R,"Gono has been ticketed for the PUP list while recovering from offseason surgery on his neck, and it is unknown if he will be active against the Eagles in Week 1."
Willie Wright,ATL,OL,Illness,I-R,"Wright has landed on the Injured Reserve/COVID-19 list, and there is no timetable for return."
John Atkins,ATL,DT,Illness,I-R,"Atkins has been posted to the Injured Reserve/COVID-19 list, and he will miss an undetermined length of time."
Kaleb McGary,ATL,OL,Undisclosed,I-R,"McGary has been ticketed for the active PUP list with an undisclosed injury, and it remains to be seen if he will line up Week 1 versus the Eagles."
Bryan Cox Jr.,BUF,DE,Achilles,out,"Cox Jr. is recovering from offseason Achilles surgery, and there is no timetable for recovery."
Jerry Hughes,BUF,DE,Calf,I-R,Hughes has wound up on the active Non-Football Injury list with a calf injury and it remains to be seen when he will return to the lineup.
Ventell Bryant,CAR,WR,Suspension,out,Bryant has been handed a two-game suspension for violating the league's substance-abuse policy. He is eligible to return Week 3 versus the Texans.
Lano Hill,CAR,FS,Foot,questionable,"Hill has been added to the PUP list with a foot injury, and it remains to be seen if he will be available for Week 1 versus the Jets."
Javon Wims,CHI,WR,Undisclosed,questionable,"Wims is tending to an unspecified injury, and it is undetermined if he will take on the Rams in Week 1."
Germain Ifedi,CHI,OT,Hip,I-R,"Ifedi has been added to the active PUP list with a hip flexor injury, and it has yet to be established if he will suit up in Week 1 versus the Rams."
Eddie Jackson,CHI,DB,Hamstring,I-R,"Jackson has been added to the Non-Football injury list due to a hamstring issue, and it remains to be seen when he will return."
Tarik Cohen,CHI,RB,Knee,I-R,"Cohen has landed on the active PUP list after undergoing surgery to repair a right ACL, and it is unclear if he will be available against the Rams in Week 1."
Dazz Newsome,CHI,WR,Shoulder,I-R,"Newsome has been shifted to the active PUP list after undergoing surgery to repair a fractured collar bone, and it remains to be seen if he will line up Week 1 versus the Rams."
Larry Ogunjobi,CIN,DT,Undisclosed,I-R,"Ogunjobi has been added to the active PUP list with an undisclosed injury, and it remains to be seen if he will be active versus the Vikings in Week 1."
